# QCD kinetic-theory energy attractor from DOI:10.4119/unibi/2939684
# Reproduces the QCD lambda=10 curve in data/figure1.py (C_infinity=0.87 label)
# Source paper: arXiv:1908.02866; cited by arXiv:2509.19430
# late_time_fit_normalization = 2.138836912706768
# omega	E_omega
0.0348304721379	0.268146005439
0.0358021346166	0.27137360327
0.0368002272399	0.274617786416
0.0378255528925	0.277881581879
0.0388761110435	0.281158714878
0.0399594850703	0.284471200828
0.0410662906227	0.287789032446
0.0422099508486	0.291150381543
0.0433810560077	0.294526104982
0.044584390409	0.297928916312
0.0458216331659	0.301361265712
0.0470889384647	0.304810715137
0.0483967383922	0.308304569273
0.0497360819163	0.311815346298
0.051117206831	0.315368682642
0.0525323618047	0.31894243781
0.0539863310945	0.322547233983
0.0554814090383	0.326185633312
0.0570158170808	0.329851808519
0.0585898549601	0.333544138058
0.0602148501438	0.337287103121
0.0618770487767	0.341045548173
0.0635898563548	0.344847970459
0.0653443227026	0.348672194673
0.0671550683421	0.352546997272
0.0690049770156	0.356433858344
0.0709086763984	0.360360472135
0.0728689148402	0.364330186622
0.074885313633	0.368339012316
0.0769473241514	0.372362745876
0.0790672981274	0.376424280561
0.0812553709373	0.380538508167
0.0834873531248	0.384657686399
0.0857922015567	0.388832696363
0.0881595422586	0.39304068515
0.0905912937608	0.397282856667
0.0930887973941	0.401557525174
0.0956479591793	0.405855322252
0.0982796936494	0.410191073518
0.10098859681	0.414569219272
0.103762152685	0.418965688144
0.106618661051	0.423407226697
0.1095530761	0.42788101338
0.11256276396	0.432379829669
0.115651450157	0.436906962828
0.118824399926	0.441465974111
0.122085718568	0.446058715188
0.125450016422	0.450701913001
0.128891697935	0.455356093285
0.132415640815	0.460025245855
0.136043268745	0.464734002997
0.139777360916	0.469481517262
0.143614745217	0.474258992901
0.147536800097	0.479039786375
0.151580664818	0.483865210792
0.155728295653	0.488709762282
0.159989661444	0.49358055121
0.164352074341	0.498459413066
0.168839957193	0.503369514046
0.173456053272	0.508308746801
0.178185383538	0.513257557661
0.183043387059	0.518226727272
